[2018-06-30, 03:50:02.0240 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0391 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0399 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0401 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0412 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0465 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0470 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0534 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0652 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:02.0944 UTC] -> Sat, 30 Jun 2018 03:50:02 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0100 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0102 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0110 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0135 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0159 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0170 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0229 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0362 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0724 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:50:03.0868 UTC] -> Sat, 30 Jun 2018 03:50:03 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
