[2018-06-23, 05:59:16.0131 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0171 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0172 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0172 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0207 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0394 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0415 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0417 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0418 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0419 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0469 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0470 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0470 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:16.0504 UTC] -> Sat, 23 Jun 2018 05:59:16 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0422 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0458 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0460 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0465 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0467 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0594 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0594 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0597 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:36.0669 UTC] -> Sat, 23 Jun 2018 05:59:36 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
